#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.063	1.520
1	2	2	0.127	3.041
1	4	4	0.253	6.081
1	8	8	0.507	12.163
1	16	16	0.509	12.224
1	32	32	0.511	12.254
1	64	64	0.511	12.254
1	128	128	0.511	12.254
1	256	256	0.511	12.254
2	256	512	0.511	12.254
3	256	768	0.511	12.254
4	256	1024	0.681	16.339
5	256	1280	0.851	20.423
6	256	1536	1.021	24.507
7	256	1792	1.021	24.498
8	256	2048	1.021	24.497
9	256	2304	1.021	24.511
10	256	2560	1.022	24.527
11	256	2816	1.022	24.535
12	256	3072	1.022	24.526
13	256	3328	1.022	24.528
14	256	3584	1.021	24.515
15	256	3840	1.021	24.503
16	256	4096	1.022	24.521
17	256	4352	1.022	24.521
18	256	4608	1.021	24.515
19	256	4864	1.021	24.512
20	256	5120	1.021	24.509
21	256	5376	1.021	24.509
22	256	5632	1.021	24.509
23	256	5888	1.021	24.508
24	256	6144	1.021	24.508
25	256	6400	1.021	24.508
26	256	6656	1.020	24.489
27	256	6912	1.021	24.507
28	256	7168	1.021	24.508
29	256	7424	1.021	24.507
30	256	7680	1.018	24.423
31	256	7936	1.020	24.484
32	256	8192	1.021	24.508
64	256	16384	1.021	24.502
128	256	32768	1.021	24.505
256	256	65536	1.021	24.509
512	256	131072	1.021	24.505
1024	256	262144	1.018	24.434
