#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	0.472	11.336
1	2	2	0.945	22.672
1	4	4	1.889	45.343
1	8	8	3.779	90.686
1	16	16	3.861	92.652
1	32	32	3.903	93.667
1	64	64	3.903	93.667
1	128	128	3.903	93.667
1	256	256	3.903	93.667
2	256	512	3.903	93.667
3	256	768	3.903	93.667
4	256	1024	5.195	124.682
5	256	1280	6.483	155.594
6	256	1536	7.767	186.402
7	256	1792	7.771	186.514
8	256	2048	7.768	186.420
9	256	2304	7.772	186.527
10	256	2560	7.767	186.405
11	256	2816	7.772	186.518
12	256	3072	7.772	186.520
13	256	3328	7.772	186.527
14	256	3584	7.770	186.490
15	256	3840	7.773	186.546
16	256	4096	7.772	186.536
17	256	4352	7.771	186.496
18	256	4608	7.771	186.510
19	256	4864	7.773	186.551
20	256	5120	7.775	186.597
21	256	5376	7.555	181.316
22	256	5632	7.727	185.440
23	256	5888	7.771	186.512
24	256	6144	7.774	186.572
25	256	6400	7.773	186.546
26	256	6656	7.776	186.627
27	256	6912	7.738	185.722
28	256	7168	7.779	186.696
29	256	7424	7.701	184.830
30	256	7680	7.753	186.080
31	256	7936	7.731	185.550
32	256	8192	7.744	185.845
64	256	16384	7.743	185.838
128	256	32768	7.717	185.207
256	256	65536	7.716	185.178
512	256	131072	7.711	185.053
1024	256	262144	7.709	185.005
2048	256	524288	7.707	184.970
4096	256	1048576	7.707	184.960
8192	256	2097152	7.706	184.955
16384	256	4194304	7.661	183.858
